Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
LogisticRegression,0.644,0.6461,0.644,0.6404,0.6493,0.6542,0.6493,0.6464,0.6167,0.6433,0.6167,0.623,0.8317,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.7637,0.7648,0.7637,0.7613,0.7569,0.7582,0.7569,0.7553,0.6333,0.6594,0.6333,0.6209,0.9141,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,DecisionTreeClassifier()
MLPClassifier,0.6948,0.7428,0.6948,0.6893,0.6991,0.7665,0.6991,0.7023,0.6333,0.718,0.6333,0.6191,0.8965,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
SVC,0.6511,0.7209,0.6511,0.6524,0.6426,0.7314,0.6426,0.6409,0.6,0.6688,0.6,0.6007,0.8051,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,SVC(probability=True)
RandomForestClassifier,0.7623,0.764,0.7623,0.7605,0.767,0.7675,0.767,0.7641,0.6167,0.6599,0.6167,0.5915,0.9133,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,RandomForestClassifier()
MLPClassifier,0.7442,0.7445,0.7442,0.7425,0.7473,0.7464,0.7473,0.7461,0.6,0.6113,0.6,0.5898,0.9018,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,MLPClassifier()
SVC,0.6753,0.72,0.6753,0.6813,0.6812,0.7388,0.6812,0.6889,0.5667,0.6074,0.5667,0.5727,0.8285,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'A']",10,SVC(probability=True)
KNeighborsClassifier,0.7234,0.737,0.7234,0.7238,0.7339,0.7535,0.7339,0.7344,0.5667,0.5581,0.5667,0.5557,0.8742,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,KNeighborsClassifier()
SVC,0.65,0.6992,0.65,0.6581,0.6538,0.7055,0.6538,0.6623,0.5333,0.5763,0.5333,0.5411,0.8061,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,SVC(probability=True)
LogisticRegression,0.5331,0.5378,0.5331,0.533,0.5154,0.5199,0.5154,0.514,0.55,0.5417,0.55,0.5341,0.7228,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5352,0.542,0.5352,0.535,0.5188,0.5203,0.5188,0.5178,0.5167,0.5171,0.5167,0.5149,0.7214,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5878,0.6165,0.5878,0.5746,0.5969,0.6237,0.5969,0.586,0.5333,0.5607,0.5333,0.513,0.7587,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5885,0.6151,0.5885,0.5735,0.5851,0.6192,0.5851,0.5769,0.4833,0.4855,0.4833,0.4693,0.7596,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5919,0.6193,0.5919,0.5765,0.5794,0.6077,0.5794,0.5685,0.4833,0.4815,0.4833,0.4682,0.7671,smote,3000,no_scaled,"['storyPoints', 'polarity', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.5403,0.5453,0.5403,0.54,0.5268,0.5314,0.5268,0.5262,0.4167,0.4092,0.4167,0.411,0.7231,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'A']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
