Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
DecisionTreeClassifier,0.9188,0.9198,0.9188,0.9188,0.9235,0.9234,0.9235,0.9233,0.7833,0.7913,0.7833,0.7833,0.9392,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8355,0.8359,0.8355,0.8349,0.8146,0.8153,0.8146,0.8148,0.7667,0.7758,0.7667,0.7672,0.9481,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
LogisticRegression,0.767,0.7976,0.767,0.7702,0.8003,0.8374,0.8003,0.8048,0.7667,0.7902,0.7667,0.7669,0.8526,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
RandomForestClassifier,0.8871,0.8893,0.8871,0.8876,0.8881,0.8904,0.8881,0.8885,0.7667,0.7688,0.7667,0.7656,0.9675,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8863,0.8893,0.8863,0.8865,0.8744,0.8742,0.8744,0.8743,0.7667,0.7688,0.7667,0.7656,0.9689,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.7907,0.792,0.7907,0.7909,0.7952,0.7961,0.7952,0.7954,0.7667,0.764,0.7667,0.7643,0.9167,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8252,0.8341,0.8252,0.8254,0.8244,0.8325,0.8244,0.8242,0.7667,0.7917,0.7667,0.7595,0.9431,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.7868,0.7942,0.7868,0.7864,0.8021,0.8201,0.8021,0.8022,0.7667,0.7728,0.7667,0.7579,0.9125,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'N']",10,KNeighborsClassifier()
SVC,0.826,0.866,0.826,0.8274,0.8193,0.8613,0.8193,0.8202,0.75,0.7875,0.75,0.7518,0.9093,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
MLPClassifier,0.8209,0.8554,0.8209,0.8207,0.833,0.872,0.833,0.8356,0.75,0.7743,0.75,0.7507,0.9446,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.8095,0.811,0.8095,0.8093,0.784,0.7895,0.784,0.7839,0.75,0.7513,0.75,0.7495,0.8579,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
SVC,0.733,0.8304,0.733,0.7205,0.7466,0.8264,0.7466,0.7272,0.75,0.819,0.75,0.7396,0.8763,smote,1000,no_scaled,"['storyPoints', 'polarity', 'stress', 'N']",10,SVC(probability=True)
KNeighborsClassifier,0.8337,0.8367,0.8337,0.8338,0.8333,0.8356,0.8333,0.8334,0.7333,0.7365,0.7333,0.7337,0.9374,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,KNeighborsClassifier()
LogisticRegression,0.6176,0.6497,0.6176,0.6166,0.6317,0.6695,0.6317,0.6316,0.7333,0.732,0.7333,0.7324,0.7984,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.7687,0.7704,0.7687,0.7687,0.7745,0.7745,0.7745,0.7745,0.7333,0.7403,0.7333,0.7302,0.8264,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.7313,0.742,0.7313,0.7339,0.7415,0.7674,0.7415,0.7471,0.7167,0.7406,0.7167,0.7222,0.9036,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,MLPClassifier()
MLPClassifier,0.7768,0.7991,0.7768,0.7711,0.7551,0.7924,0.7551,0.7436,0.7333,0.7494,0.7333,0.7181,0.9201,smote,1000,no_scaled,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
SVC,0.7063,0.7579,0.7063,0.7077,0.716,0.7638,0.716,0.7186,0.7,0.7704,0.7,0.7089,0.8428,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,SVC(probability=True)
LogisticRegression,0.6266,0.6647,0.6266,0.6304,0.6231,0.6384,0.6231,0.6231,0.7,0.7012,0.7,0.7003,0.7895,smote,1000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8221,0.8325,0.8221,0.8218,0.8296,0.8353,0.8296,0.8302,0.7,0.7245,0.7,0.6984,0.9445,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8562,0.8614,0.8562,0.856,0.8985,0.8988,0.8985,0.8983,0.7,0.706,0.7,0.6925,0.9485,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,KNeighborsClassifier()
LogisticRegression,0.6262,0.6388,0.6262,0.6285,0.6299,0.634,0.6299,0.6295,0.6833,0.6844,0.6833,0.6836,0.7552,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.7851,0.797,0.7851,0.7854,0.7917,0.8264,0.7917,0.794,0.6833,0.7125,0.6833,0.6835,0.9131,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,KNeighborsClassifier()
LogisticRegression,0.7739,0.8043,0.7739,0.7769,0.7487,0.7601,0.7487,0.7508,0.6833,0.6952,0.6833,0.6824,0.8592,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.642,0.6652,0.642,0.6456,0.6735,0.6967,0.6735,0.6775,0.6667,0.7333,0.6667,0.6739,0.8142,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6003,0.617,0.6003,0.6043,0.6139,0.6255,0.6139,0.6176,0.6667,0.679,0.6667,0.6696,0.7563,smote,1000,no_scaled,"['storyPoints', 'polarity', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
RandomForestClassifier,0.8359,0.845,0.8359,0.8359,0.7917,0.7981,0.7917,0.7915,0.6667,0.696,0.6667,0.6677,0.9499,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,RandomForestClassifier()
MLPClassifier,0.7657,0.793,0.7657,0.765,0.7797,0.7975,0.7797,0.7779,0.65,0.6867,0.65,0.6574,0.9183,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,MLPClassifier()
SVC,0.7136,0.7539,0.7136,0.7142,0.7935,0.8134,0.7935,0.7906,0.65,0.6738,0.65,0.6549,0.8478,smote,1000,MinMaxScaler,"['storyPoints', 'polarity', 'N']",10,SVC(probability=True)
SVC,0.6033,0.7021,0.6033,0.5921,0.6156,0.7149,0.6156,0.6168,0.6333,0.7333,0.6333,0.6289,0.7892,smote,1000,no_scaled,"['storyPoints', 'polarity', 'N']",10,SVC(probability=True)
LogisticRegression,0.5904,0.611,0.5904,0.5942,0.611,0.6294,0.611,0.6147,0.6167,0.6395,0.6167,0.6186,0.752,smote,1000,StandardScaler,"['storyPoints', 'polarity', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.5986,0.7193,0.5986,0.5948,0.6105,0.736,0.6105,0.6015,0.6,0.6955,0.6,0.5985,0.804,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,SVC(probability=True)
MLPClassifier,0.6688,0.6913,0.6688,0.6715,0.6514,0.6805,0.6514,0.6581,0.5833,0.6333,0.5833,0.5924,0.8678,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,MLPClassifier()
LogisticRegression,0.6318,0.6651,0.6318,0.6346,0.6041,0.6444,0.6041,0.6088,0.5667,0.6399,0.5667,0.572,0.7927,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.6305,0.6534,0.6305,0.6344,0.6403,0.6628,0.6403,0.6447,0.55,0.6132,0.55,0.5632,0.8002,smote,1000,StandardScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.5859,0.7104,0.5859,0.5791,0.5901,0.7405,0.5901,0.5897,0.5667,0.6713,0.5667,0.5621,0.7794,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,SVC(probability=True)
LogisticRegression,0.6356,0.6591,0.6356,0.6391,0.5969,0.6395,0.5969,0.6021,0.5333,0.5779,0.5333,0.5374,0.8132,smote,1000,no_scaled,"['storyPoints', 'polarity_mean', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
