Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.8685;0.8697;0.8685;0.8683;0.915;0.9148;0.915;0.9148;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8707;0.8726;0.8707;0.8708;0.8776;0.8789;0.8776;0.8781;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.862;0.8636;0.862;0.8623;0.8912;0.895;0.8912;0.8908;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.8761;0.8785;0.8761;0.8764;0.8673;0.8689;0.8673;0.868;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8651;0.8675;0.8651;0.8654;0.9218;0.9214;0.9218;0.9211;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.8647;0.8654;0.8647;0.8647;0.9014;0.9019;0.9014;0.9012;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
KNeighborsClassifier;0.867;0.8693;0.867;0.8673;0.8912;0.8977;0.8912;0.8924;0.8667;0.8664;0.8667;0.8662;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
RandomForestClassifier;0.9021;0.9038;0.9021;0.9023;0.8912;0.8942;0.8912;0.8918;0.8667;0.8677;0.8667;0.8661;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 164};RandomForestClassifier(n_estimators=10, random_state=164)
RandomForestClassifier;0.9097;0.9117;0.9097;0.9099;0.8844;0.8844;0.8844;0.8843;0.8667;0.8677;0.8667;0.8661;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 488};RandomForestClassifier(n_estimators=20, random_state=488)
RandomForestClassifier;0.9112;0.9127;0.9112;0.9114;0.9184;0.9187;0.9184;0.9184;0.8667;0.8656;0.8667;0.8658;smote;1000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 164};RandomForestClassifier(n_estimators=20, random_state=164)
