;Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
35;RandomForestClassifier;0.8827;0.8832;0.8827;0.8827;0.902;0.9021;0.902;0.9019;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 547};RandomForestClassifier(n_estimators=20, random_state=547)
36;RandomForestClassifier;0.8837;0.8842;0.8837;0.8836;0.8839;0.8847;0.8839;0.8838;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 547};RandomForestClassifier(n_estimators=20, random_state=547)
37;RandomForestClassifier;0.8844;0.8849;0.8844;0.8843;0.8792;0.8794;0.8792;0.8792;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 547};RandomForestClassifier(n_estimators=20, random_state=547)
38;RandomForestClassifier;0.8836;0.8841;0.8836;0.8836;0.8852;0.8855;0.8852;0.8852;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 547};RandomForestClassifier(n_estimators=20, random_state=547)
39;RandomForestClassifier;0.8832;0.8836;0.8832;0.8831;0.8899;0.8907;0.8899;0.8899;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 547};RandomForestClassifier(n_estimators=5, random_state=547)
41;RandomForestClassifier;0.8841;0.8846;0.8841;0.8841;0.8867;0.8876;0.8867;0.8866;0.85;0.8517;0.85;0.8498;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 610};RandomForestClassifier(n_estimators=5, random_state=610)
42;RandomForestClassifier;0.8825;0.8828;0.8825;0.8824;0.8919;0.8922;0.8919;0.8919;0.85;0.8563;0.85;0.8487;smote;5000;MinMaxScaler;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 5, 'random_state': 547};RandomForestClassifier(n_estimators=5, random_state=547)
88;DecisionTreeClassifier;0.905;0.9052;0.905;0.905;0.8742;0.8776;0.8742;0.8747;0.85;0.8526;0.85;0.8487;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 822};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=822)
87;DecisionTreeClassifier;0.9055;0.9056;0.9055;0.9055;0.8628;0.8658;0.8628;0.8637;0.85;0.8705;0.85;0.8497;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 633};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=633)
86;DecisionTreeClassifier;0.9042;0.9044;0.9042;0.9042;0.8728;0.8735;0.8728;0.8729;0.85;0.8769;0.85;0.8499;smote;5000;no_scaled;['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 602};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=602)
