Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.29;0.2167;0.29;0.2117;0.1429;0.0476;0.1429;0.0714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 898};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=898)
DecisionTreeClassifier;0.4048;0.4074;0.4048;0.3611;0.3636;0.1932;0.3636;0.2397;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 992};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=992)
DecisionTreeClassifier;0.2;0.1533;0.2;0.1467;0.3333;0.1111;0.3333;0.1667;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 20, 'random_state': 898};DecisionTreeClassifier(max_depth=3, min_samples_leaf=20, random_state=898)
DecisionTreeClassifier;0.32;0.4;0.32;0.2267;0.3333;0.1667;0.3333;0.2222;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 898};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=898)
DecisionTreeClassifier;0.3833;0.2792;0.3833;0.2719;0.25;0.125;0.25;0.1667;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 637};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=637)
DecisionTreeClassifier;0.3083;0.2542;0.3083;0.225;0.125;0.0417;0.125;0.0625;0.1667;0.1667;0.1667;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 637};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=637)
DecisionTreeClassifier;0.2381;0.1905;0.2381;0.1722;0.2;0.05;0.2;0.08;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 992};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=992)
DecisionTreeClassifier;0.16;0.1333;0.16;0.1183;0.1667;0.0278;0.1667;0.0476;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 20, 'random_state': 898};DecisionTreeClassifier(max_depth=3, min_samples_leaf=20, random_state=898)
DecisionTreeClassifier;0.225;0.1854;0.225;0.1583;0.25;0.1333;0.25;0.1714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 207};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=207)
DecisionTreeClassifier;0.4833;0.4674;0.4833;0.3818;0.25;0.1333;0.25;0.1714;0.3333;0.1111;0.3333;0.1667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 207};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=207)
