Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.358;0.3163;0.358;0.3024;0.8;0.8756;0.8;0.7833;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
KNeighborsClassifier;0.4178;0.3019;0.4178;0.3289;0.4167;0.3611;0.4167;0.3556;0.6667;0.4667;0.6667;0.5417;mixed;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'manhattan', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=7, p=1, weights='distance')
KNeighborsClassifier;0.4432;0.3169;0.4432;0.3595;0.8667;0.9056;0.8667;0.8603;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.2985;0.3146;0.2985;0.3066;0.75;0.64;0.75;0.6728;0.6667;0.4667;0.6667;0.5417;mixed;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.38;0.3304;0.38;0.3389;0.6667;0.4722;0.6667;0.5444;0.6667;0.4667;0.6667;0.5417;mixed;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.3778;0.2839;0.3778;0.299;0.6667;0.65;0.6667;0.623;0.6667;0.4667;0.6667;0.5417;under;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.3974;0.3569;0.3974;0.3624;0.9;0.925;0.9;0.8971;0.6667;0.4667;0.6667;0.5417;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.358;0.35;0.358;0.3141;0.8667;0.92;0.8667;0.85;0.6667;0.4667;0.6667;0.5417;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.4978;0.4544;0.4978;0.4356;0.8333;0.75;0.8333;0.7778;0.6667;0.4667;0.6667;0.5417;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'manhattan', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', n_neighbors=9, p=1, weights='distance')
LogisticRegression;0.5549;0.5485;0.5549;0.5113;0.4667;0.5222;0.4667;0.4511;0.6667;0.4667;0.6667;0.5417;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'penalty': 'l2', 'random_state': 461, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=461)"
KNeighborsClassifier;0.4905;0.4628;0.4905;0.4312;0.5333;0.5189;0.5333;0.4781;0.6667;0.4667;0.6667;0.5417;mixed;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
LogisticRegression;0.48;0.417;0.48;0.41;0.5;0.4722;0.5;0.4556;0.6667;0.4583;0.6667;0.5397;under;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 1, 'penalty': 'l2', 'random_state': 704, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=704)"
LogisticRegression;0.5867;0.6296;0.5867;0.5578;0.4167;0.3611;0.4167;0.3833;0.6667;0.4583;0.6667;0.5397;mixed;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 1, 'penalty': 'l2', 'random_state': 369, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=369)"
LogisticRegression;0.5;0.4756;0.5;0.4333;0.5;0.3611;0.5;0.4111;0.6667;0.4583;0.6667;0.5397;smote;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 1, 'penalty': 'l2', 'random_state': 691, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=691)"
LogisticRegression;0.4156;0.4156;0.4156;0.3902;0.5;0.4028;0.5;0.4111;0.6667;0.4583;0.6667;0.5397;over;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'penalty': 'l2', 'random_state': 127, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=127)"
LogisticRegression;0.553;0.5754;0.553;0.5377;0.4;0.48;0.4;0.3743;0.6667;0.4583;0.6667;0.5397;over;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 847, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=847)"
LogisticRegression;0.4432;0.3742;0.4432;0.3683;0.6667;0.6444;0.6667;0.6311;0.6667;0.4583;0.6667;0.5397;under;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'penalty': 'l2', 'random_state': 391, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=391)"
LogisticRegression;0.5511;0.5062;0.5511;0.503;0.4667;0.4667;0.4667;0.4387;0.6667;0.4583;0.6667;0.5397;smote;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'penalty': 'l2', 'random_state': 126, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=126)"
LogisticRegression;0.5322;0.5104;0.5322;0.4813;0.4667;0.3867;0.4667;0.3989;0.6667;0.4583;0.6667;0.5397;smote;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'penalty': 'l2', 'random_state': 126, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=126)"
LogisticRegression;0.5;0.4318;0.5;0.4358;0.45;0.5292;0.45;0.4479;0.6667;0.4583;0.6667;0.5397;over;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'C': 1, 'penalty': 'l2', 'random_state': 813, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=813)"
SVC;0.5476;0.4513;0.5476;0.4635;0.3;0.3988;0.3;0.3112;0.6667;0.4583;0.6667;0.5397;over;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];3;{'C': 1, 'kernel': 'linear', 'random_state': 454};SVC(C=1, kernel='linear', random_state=454)
MLPClassifier;0.6267;0.5581;0.6267;0.5833;0.9167;0.9444;0.9167;0.9111;0.6667;0.4583;0.6667;0.5397;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_iter': 100000, 'random_state': 390, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=390)
LogisticRegression;0.3733;0.3674;0.3733;0.3133;0.5833;0.5694;0.5833;0.55;0.6667;0.4583;0.6667;0.5397;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'penalty': 'l2', 'random_state': 225, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=225)"
LogisticRegression;0.6044;0.5059;0.6044;0.5456;0.5;0.4444;0.5;0.4389;0.6667;0.4583;0.6667;0.5397;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 10, 'penalty': 'l2', 'random_state': 278, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=278)"
RandomForestClassifier;0.7711;0.7522;0.7711;0.7467;0.8333;0.9167;0.8333;0.8333;0.5;0.5833;0.5;0.5111;mixed;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 891};RandomForestClassifier(n_estimators=20, random_state=891)
RandomForestClassifier;0.7985;0.6847;0.7985;0.7046;0.7;0.7475;0.7;0.704;0.5;0.5;0.5;0.5;over;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 20, 'random_state': 802};RandomForestClassifier(n_estimators=20, random_state=802)
RandomForestClassifier;0.6978;0.7288;0.6978;0.6791;0.7;0.7875;0.7;0.6869;0.5;0.5417;0.5;0.4667;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 10, 'random_state': 329};RandomForestClassifier(n_estimators=10, random_state=329)
DecisionTreeClassifier;0.642;0.5758;0.642;0.5625;0.5333;0.4914;0.5333;0.4581;0.5;0.4167;0.5;0.4444;mixed;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 669};DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=669)
MLPClassifier;0.5114;0.4958;0.5114;0.4558;0.8667;0.9111;0.8667;0.8622;0.5;0.4167;0.5;0.4444;smote;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'max_iter': 100000, 'random_state': 655, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=655)
DecisionTreeClassifier;0.7667;0.6904;0.7667;0.6922;0.5833;0.5278;0.5833;0.5222;0.5;0.4167;0.5;0.4444;smote;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 5, 'min_samples_leaf': 5, 'random_state': 500};DecisionTreeClassifier(max_depth=5, min_samples_leaf=5, random_state=500)
RandomForestClassifier;0.7222;0.7083;0.7222;0.6694;0.75;0.8056;0.75;0.7611;0.3333;0.6667;0.3333;0.4444;smote;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 811};RandomForestClassifier(n_estimators=20, random_state=811)
RandomForestClassifier;0.6667;0.6563;0.6667;0.6311;0.8333;0.9167;0.8333;0.8333;0.5;0.4167;0.5;0.4444;over;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 190};RandomForestClassifier(n_estimators=20, random_state=190)
MLPClassifier;0.447;0.4274;0.447;0.4028;0.2667;0.2222;0.2667;0.2311;0.5;0.6389;0.5;0.4444;under;['polarity', 'O', 'C', 'E', 'A', 'N'];4;{'max_iter': 100000, 'random_state': 988, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=988)
LogisticRegression;0.5;0.5159;0.5;0.488;0.2;0.2958;0.2;0.2179;0.5;0.375;0.5;0.4286;under;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 1, 'penalty': 'l2', 'random_state': 925, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=925)"
LogisticRegression;0.5444;0.4775;0.5444;0.4902;0.3333;0.4167;0.3333;0.3306;0.5;0.375;0.5;0.4286;mixed;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 1, 'penalty': 'l2', 'random_state': 369, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=369)"
LogisticRegression;0.3755;0.3345;0.3755;0.319;0.3;0.15;0.3;0.1962;0.5;0.375;0.5;0.4286;smote;['polarity', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 667, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=667)"
RandomForestClassifier;0.6978;0.6592;0.6978;0.6661;0.65;0.65;0.65;0.6117;0.3333;0.6667;0.3333;0.4167;under;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 10, 'random_state': 918};RandomForestClassifier(n_estimators=10, random_state=918)
DecisionTreeClassifier;0.6502;0.6621;0.6502;0.6106;0.4;0.4013;0.4;0.3534;0.5;0.3889;0.5;0.4167;over;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 216};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=216)
DecisionTreeClassifier;0.6996;0.6098;0.6996;0.6242;0.4;0.2971;0.4;0.3048;0.5;0.3889;0.5;0.4167;smote;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 127};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=127)
