Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
DecisionTreeClassifier,0.8835,0.8837,0.8835,0.883,0.8849,0.8846,0.8849,0.8846,0.8,0.8056,0.8,0.799,0.9142,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8975,0.8977,0.8975,0.8974,0.8943,0.894,0.8943,0.8941,0.7833,0.7913,0.7833,0.7852,0.924,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,DecisionTreeClassifier()
LogisticRegression,0.8252,0.8306,0.8252,0.8267,0.8479,0.8524,0.8479,0.8494,0.7833,0.8051,0.7833,0.7846,0.9372,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
DecisionTreeClassifier,0.8592,0.8591,0.8592,0.8589,0.8697,0.8698,0.8697,0.8696,0.7833,0.7917,0.7833,0.7839,0.965,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8818,0.883,0.8818,0.8819,0.8827,0.8822,0.8827,0.8824,0.7833,0.7847,0.7833,0.7837,0.9715,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,RandomForestClassifier()
SVC,0.8126,0.8195,0.8126,0.8143,0.8037,0.8124,0.8037,0.806,0.7833,0.7935,0.7833,0.7814,0.908,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8581,0.8594,0.8581,0.8566,0.8266,0.8385,0.8266,0.8277,0.7667,0.7856,0.7667,0.768,0.9635,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'C', 'A', 'N']",10,MLPClassifier()
MLPClassifier,0.8149,0.8207,0.8149,0.8124,0.8221,0.8215,0.8221,0.8166,0.7667,0.7731,0.7667,0.767,0.9484,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8323,0.8364,0.8323,0.8324,0.8647,0.8662,0.8647,0.8648,0.7667,0.768,0.7667,0.767,0.9445,smote,3000,no_scaled,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8815,0.8823,0.8815,0.8813,0.8866,0.8882,0.8866,0.8868,0.7667,0.7655,0.7667,0.7657,0.9691,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,MLPClassifier()
DecisionTreeClassifier,0.8804,0.8813,0.8804,0.8807,0.8855,0.8873,0.8855,0.8859,0.75,0.7512,0.75,0.7497,0.9712,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,DecisionTreeClassifier()
KNeighborsClassifier,0.8632,0.8706,0.8632,0.8625,0.8737,0.8748,0.8737,0.8739,0.75,0.7488,0.75,0.7491,0.9517,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.7998,0.8138,0.7998,0.8007,0.8138,0.8135,0.8138,0.8136,0.75,0.7505,0.75,0.7476,0.9392,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,MLPClassifier()
MLPClassifier,0.8311,0.8325,0.8311,0.831,0.8231,0.8287,0.8231,0.8238,0.75,0.764,0.75,0.7469,0.949,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'C', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.862,0.8642,0.862,0.8618,0.8714,0.8771,0.8714,0.8715,0.75,0.7544,0.75,0.7447,0.9533,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,KNeighborsClassifier()
LogisticRegression,0.6957,0.7127,0.6957,0.6958,0.6962,0.7155,0.6962,0.6964,0.7333,0.7365,0.7333,0.7337,0.8387,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.8225,0.8274,0.8225,0.8236,0.822,0.8265,0.822,0.8235,0.7333,0.7346,0.7333,0.7336,0.9315,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'C', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
MLPClassifier,0.8443,0.8447,0.8443,0.8442,0.8422,0.8415,0.8422,0.8418,0.7333,0.7347,0.7333,0.7328,0.9567,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'C', 'A', 'N']",10,MLPClassifier()
