Algorithm,Train Accuracy,Train Precision,Train Recall,Train F1 Score,Test Accuracy,Test Precision,Test Recall,Test F1 Score,Val. Accuracy,Val. Precision,Val. Recall,Val. F1 Score,AUC,Bal. Strategy,SMOTE Instances,Scale,Features,Folds,Model
MLPClassifier,0.8357,0.8375,0.8357,0.8359,0.8377,0.8392,0.8377,0.8381,0.8167,0.8292,0.8167,0.8172,0.9502,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
MLPClassifier,0.8673,0.8692,0.8673,0.8678,0.8782,0.8776,0.8782,0.8775,0.8167,0.8166,0.8167,0.8156,0.9648,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.9158,0.9161,0.9158,0.9159,0.9236,0.9242,0.9236,0.9238,0.8167,0.8171,0.8167,0.8144,0.9776,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
SVC,0.7971,0.8054,0.7971,0.7981,0.8091,0.8177,0.8091,0.8102,0.8,0.8233,0.8,0.8024,0.9144,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.9122,0.9124,0.9122,0.9125,0.9144,0.914,0.9144,0.9141,0.8,0.8072,0.8,0.8022,0.9345,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
DecisionTreeClassifier,0.8649,0.867,0.8649,0.8652,0.863,0.8634,0.863,0.8626,0.8,0.8058,0.8,0.8007,0.9677,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
SVC,0.8206,0.8382,0.8206,0.8233,0.8304,0.8472,0.8304,0.8333,0.8,0.8064,0.8,0.8007,0.9265,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
MLPClassifier,0.8695,0.8706,0.8695,0.8683,0.8758,0.8748,0.8758,0.874,0.7833,0.7884,0.7833,0.7848,0.9697,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
LogisticRegression,0.6806,0.685,0.6806,0.6803,0.6766,0.6792,0.6766,0.6768,0.7833,0.7855,0.7833,0.7841,0.8621,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.8764,0.8772,0.8764,0.8761,0.8944,0.8971,0.8944,0.8951,0.7833,0.7897,0.7833,0.7836,0.9523,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
RandomForestClassifier,0.8864,0.8879,0.8864,0.8868,0.8849,0.8863,0.8849,0.8854,0.7833,0.7833,0.7833,0.7833,0.972,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
KNeighborsClassifier,0.8448,0.8482,0.8448,0.846,0.8602,0.8674,0.8602,0.862,0.7833,0.7821,0.7833,0.7824,0.9454,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
DecisionTreeClassifier,0.899,0.8994,0.899,0.8993,0.8984,0.8981,0.8984,0.8982,0.7833,0.7821,0.7833,0.7824,0.9244,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
RandomForestClassifier,0.8677,0.871,0.8677,0.8682,0.8563,0.86,0.8563,0.8571,0.7833,0.7889,0.7833,0.7805,0.9682,smote,3000,no_scaled,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
RandomForestClassifier,0.8557,0.8567,0.8557,0.8556,0.849,0.8489,0.849,0.8488,0.7667,0.7825,0.7667,0.7697,0.9624,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
LogisticRegression,0.8328,0.8393,0.8328,0.834,0.8149,0.8193,0.8149,0.8159,0.7667,0.7824,0.7667,0.7684,0.9426,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
KNeighborsClassifier,0.8691,0.8731,0.8691,0.8694,0.8849,0.8872,0.8849,0.8856,0.7667,0.7687,0.7667,0.7663,0.9522,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
SVC,0.8531,0.8576,0.8531,0.8547,0.8417,0.8471,0.8417,0.8432,0.7667,0.7685,0.7667,0.764,0.9259,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
SVC,0.8356,0.8582,0.8356,0.8381,0.8495,0.8685,0.8495,0.852,0.75,0.7656,0.75,0.7524,0.9341,smote,3000,StandardScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
DecisionTreeClassifier,0.8864,0.8895,0.8864,0.8865,0.8849,0.8886,0.8849,0.8855,0.75,0.7529,0.75,0.7511,0.971,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
MLPClassifier,0.8821,0.8874,0.8821,0.8824,0.8883,0.8915,0.8883,0.8887,0.75,0.7488,0.75,0.7491,0.9695,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
SVC,0.8043,0.8117,0.8043,0.8057,0.7992,0.8058,0.7992,0.8009,0.7333,0.7462,0.7333,0.7354,0.9015,smote,3000,no_scaled,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.6995,0.7168,0.6995,0.6994,0.6788,0.7005,0.6788,0.679,0.7333,0.7365,0.7333,0.7337,0.8424,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
LogisticRegression,0.8206,0.8255,0.8206,0.8218,0.8254,0.8293,0.8254,0.8266,0.7333,0.7333,0.7333,0.7333,0.9304,smote,3000,MinMaxScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
SVC,0.8572,0.8651,0.8572,0.8586,0.8658,0.8716,0.8658,0.8669,0.7333,0.7543,0.7333,0.7329,0.9305,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
LogisticRegression,0.6341,0.6377,0.6341,0.6347,0.6496,0.6589,0.6496,0.6514,0.7333,0.7332,0.7333,0.732,0.8232,smote,3000,MinMaxScaler,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
MLPClassifier,0.8135,0.8178,0.8135,0.8111,0.835,0.8331,0.835,0.8329,0.7333,0.7338,0.7333,0.7309,0.9469,smote,3000,no_scaled,"['storyPoints', 'polarity_mean', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
KNeighborsClassifier,0.8359,0.8379,0.8359,0.8361,0.8248,0.8245,0.8248,0.8246,0.7167,0.7329,0.7167,0.7179,0.9361,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,KNeighborsClassifier()
MLPClassifier,0.8507,0.853,0.8507,0.851,0.854,0.8534,0.854,0.8535,0.7167,0.7213,0.7167,0.717,0.9594,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,MLPClassifier()
RandomForestClassifier,0.8877,0.8898,0.8877,0.8883,0.886,0.8876,0.886,0.8862,0.7167,0.7185,0.7167,0.7167,0.9721,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
DecisionTreeClassifier,0.8853,0.888,0.8853,0.8857,0.8832,0.8873,0.8832,0.8835,0.7167,0.7131,0.7167,0.7137,0.97,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,DecisionTreeClassifier()
SVC,0.835,0.8405,0.835,0.8358,0.836,0.8401,0.836,0.8364,0.7,0.7037,0.7,0.6999,0.9268,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,SVC(probability=True)
RandomForestClassifier,0.8569,0.8585,0.8569,0.8572,0.8551,0.8567,0.8551,0.8555,0.7,0.7004,0.7,0.6942,0.962,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N']",10,RandomForestClassifier()
LogisticRegression,0.822,0.8263,0.822,0.823,0.8226,0.83,0.8226,0.825,0.6833,0.6882,0.6833,0.6833,0.9327,smote,3000,StandardScaler,"['storyPoints', 'polarity', 'stress', 'O', 'C', 'E', 'A', 'N']",10,"LogisticRegression(max_iter=100000, multi_class='multinomial')"
