Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
DecisionTreeClassifier;0.8825;0.888;0.8825;0.8812;0.8841;0.8862;0.8841;0.8839;0.85;0.8492;0.85;0.8485;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 238};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=238)
DecisionTreeClassifier;0.863;0.8717;0.863;0.8622;0.8696;0.8681;0.8696;0.8686;0.85;0.8492;0.85;0.8485;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
DecisionTreeClassifier;0.8809;0.8845;0.8809;0.881;0.8116;0.838;0.8116;0.8164;0.8333;0.8489;0.8333;0.8352;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 701};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=701)
RandomForestClassifier;0.9195;0.9266;0.9195;0.919;0.9565;0.9583;0.9565;0.9565;0.8333;0.8388;0.8333;0.8337;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 724};RandomForestClassifier(n_estimators=20, random_state=724)
KNeighborsClassifier;0.8084;0.8178;0.8084;0.808;0.8841;0.8969;0.8841;0.8859;0.8333;0.8348;0.8333;0.8337;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8406;0.8499;0.8406;0.8404;0.7681;0.7648;0.7681;0.7629;0.8333;0.8369;0.8333;0.8328;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'distance'};"KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1,
                     weights='distance')"
KNeighborsClassifier;0.8197;0.827;0.8197;0.8195;0.8406;0.8759;0.8406;0.8382;0.8333;0.8369;0.8333;0.8328;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
RandomForestClassifier;0.9356;0.9376;0.9356;0.9357;0.8986;0.8988;0.8986;0.8978;0.8333;0.8369;0.8333;0.8328;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 997};RandomForestClassifier(n_estimators=20, random_state=997)
KNeighborsClassifier;0.8148;0.8213;0.8148;0.8148;0.8551;0.8591;0.8551;0.8489;0.8333;0.8369;0.8333;0.8328;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'manhattan', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(metric='manhattan', p=1, weights='distance')
DecisionTreeClassifier;0.9033;0.9074;0.9033;0.9041;0.8986;0.9069;0.8986;0.9001;0.8333;0.8383;0.8333;0.8327;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 40};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=40)
RandomForestClassifier;0.9307;0.9325;0.9307;0.9308;0.9275;0.9281;0.9275;0.9275;0.8333;0.8341;0.8333;0.8327;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9146;0.918;0.9146;0.9149;0.942;0.9506;0.942;0.9416;0.8333;0.8341;0.8333;0.8327;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 184};RandomForestClassifier(n_estimators=20, random_state=184)
RandomForestClassifier;0.9243;0.9272;0.9243;0.9245;0.8841;0.8941;0.8841;0.8857;0.8333;0.8341;0.8333;0.8327;smote;250;no_scaled;['storyPoints', 'polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 724};RandomForestClassifier(n_estimators=20, random_state=724)
